fold,split,loss,acc,f1,auc,sensitivity,specificity,tn,fp,fn,tp,threshold,n_cases
1,train,0.5025614688270971,0.9473684210526315,0.9,0.974025974025974,0.8571428571428571,0.9818181818181818,54,1,3,18,0.44,76
1,val,0.6647437810897827,0.6842105263157895,0.25,0.5,0.16666666666666666,0.9230769230769231,12,1,5,1,0.44,19
2,train,0.3539623429900722,0.9342105263157895,0.8936170212765957,0.9939393939393939,1.0,0.9090909090909091,50,5,0,21,0.44,76
2,val,0.660500102921536,0.631578947368421,0.36363636363636365,0.5769230769230769,0.3333333333333333,0.7692307692307693,10,3,4,2,0.44,19
3,train,0.5597292153458846,0.9078947368421053,0.8108108108108109,0.9663299663299664,0.6818181818181818,1.0,54,0,7,15,0.44,76
3,val,0.6389090340388449,0.7368421052631579,0.0,0.6000000000000001,0.0,1.0,14,0,5,0,0.44,19
4,train,0.17820345649593755,1.0,1.0,1.0,1.0,1.0,54,0,0,22,0.44,76
4,val,0.5522121881183825,0.8421052631578947,0.5714285714285714,0.8285714285714285,0.4,1.0,14,0,3,2,0.44,19
5,train,0.5334802269935608,0.9078947368421053,0.8108108108108109,0.9452861952861953,0.6818181818181818,1.0,54,0,7,15,0.44,76
5,val,0.6282564778076974,0.6842105263157895,0.0,0.6142857142857143,0.0,0.9285714285714286,13,1,5,0,0.44,19
